Requirement,Applicable?,Comment,Backend Implementation Status,Need Improvement?
"Verify documentation and justification of all the application's trust boundaries, components, and significant data flows.",Yes,"Documented in docs/CASA Security Controls - Delight Desk.md with explicit trust boundaries and data flows.",Completed,
"Verify the application does not use unsupported, insecure, or deprecated client-side technologies such as NSAPI plugins, Flash, Shockwave, ActiveX, Silverlight, NACL, or client-side Java applets.",No,"Backend API only; deprecated client-side plugins are not used in this service.",N/A,
"Verify that trusted enforcement points, such as access control gateways, servers, and serverless functions, enforce access controls. Never enforce access controls on the client.",Yes,"Access control is enforced server-side using SessionGuard and user-scoped service queries.",Completed,
Verify that all sensitive data is identified and classified into protection levels.,Yes,"Documented in docs/CASA Security Controls - Delight Desk.md with protection levels P0-P3 and examples.",Completed,
"Verify that all protection levels have an associated set of protection requirements, such as encryption requirements, integrity requirements, retention, privacy and other confidentiality requirements, and that these are applied in the architecture.",Yes,"Protection-requirement matrix is documented in docs/CASA Security Controls - Delight Desk.md and aligned with backend controls.",Completed,
"Verify that the application employs integrity protections, such as code signing or subresource integrity. The application must not load or execute code from untrusted sources, such as loading includes, modules, plugins, code, or libraries from untrusted sources or the Internet.",Yes,"Dependencies are pinned via lockfile CI build is automated and a security integrity checksum report is generated during deployment workflow.",Completed,
"Verify that the application has protection from subdomain takeovers if the application relies upon DNS entries or DNS subdomains, such as expired domain names, out of date DNS pointers or CNAMEs, expired projects at public source code repos, or transient cloud APIs, serverless functions, or storage buckets (*autogen-bucket-id*.cloud.example.com) or similar. Protections can include ensuring that DNS names used by applications are regularly checked for expiry or change.",Yes,"Implemented periodic DNS/subdomain monitoring with docs/dns-inventory.json npm run security:dns-check and scheduled GitHub Action Security DNS Monitor with report artifacts.",Completed,
"Verify that the application has anti-automation controls to protect against excessive calls such as mass data exfiltration, business logic requests, file uploads or denial of service attacks.",Yes,"Rate-limit guard and repository-based counters are implemented for protected endpoints and public auth/contact endpoints now have IP-based rate limits.",Completed,
"Verify that files obtained from untrusted sources are stored outside the web root, with limited permissions.",No,"No untrusted file upload endpoint is implemented in this backend.",N/A,
Verify that files obtained from untrusted sources are scanned by antivirus scanners to prevent upload and serving of known malicious content.,No,"Not applicable because untrusted file upload and file serving are not implemented.",N/A,
"Verify API URLs do not expose sensitive information, such as the API key, session tokens etc.",Yes,"Session auth uses HTTP-only cookie; sensitive tokens are not passed as API URL parameters.",Completed,
"Verify that authorization decisions are made at both the URI, enforced by programmatic or declarative security at the controller or router, and at the resource level, enforced by model-based permissions.",Yes,"Controllers are guarded and data access is scoped by authenticated userId in repositories/services.",Completed,
"Verify that enabled RESTful HTTP methods are a valid choice for the user or action, such as preventing normal users using DELETE or PUT on protected API or resources.",Yes,"HTTP methods are explicitly declared per route with guard-protected sensitive actions.",Completed,
"Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.",Yes,"GitHub Actions workflow now includes concurrency controls pinned SSH host-key verification and deterministic production install with npm ci.",Completed,
"Verify that the application, configuration, and all dependencies can be re-deployed using automated deployment scripts, built from a documented and tested runbook in a reasonable time, or restored from backups in a timely fashion.",Yes,"Automated deployment script and deployment runbook are present in repository documentation.",Completed,
Verify that authorized administrators can verify the integrity of all security-relevant configurations to detect tampering.,Yes,"Implemented integrity verification with security-integrity-report.json generated from scripts/security-integrity-check.js in CI.",Completed,
"Verify that web or application server and application framework debug modes are disabled in production to eliminate debug features, developer consoles, and unintended security disclosures.",Yes,"Swagger is gated in production x-powered-by is disabled and production logger levels exclude debug/verbose output.",Completed,
"Verify that the supplied Origin header is not used for authentication or access control decisions, as the Origin header can easily be changed by an attacker.",Yes,"Authentication relies on server session state; Origin is only used for CORS policy.",Completed,
Verify that user set passwords are at least 12 characters in length,Yes,"Implemented by increasing password validators to a minimum of 12 characters for signup reset and change-password flows.",Completed,
"Verify system generated initial passwords or activation codes SHOULD be securely randomly generated, SHOULD be at least 6 characters long, and MAY contain letters and numbers, and expire after a short period of time. These initial secrets must not be permitted to become the long term password.",No,"Application does not issue system-generated initial passwords or activation codes.",N/A,
